iteration,Method,Classifier,Metric,Mean
7,MICE,LogisticRegression,accuracy,0.5886146640245001
7,MICE,LogisticRegression,f1,0.5685856015292093
7,MICE,RandomForest,accuracy,0.5941572089113072
7,MICE,RandomForest,f1,0.5684232393833535
7,MICE,XGBoost,accuracy,0.5591545066954903
7,MICE,XGBoost,f1,0.5434657723344383
8,No Handling,LogisticRegression,accuracy,0.47916666666666663
8,No Handling,LogisticRegression,f1,0.43527421652421655
8,No Handling,RandomForest,accuracy,0.45833333333333337
8,No Handling,RandomForest,f1,0.40294248575498576
8,No Handling,XGBoost,accuracy,0.45833333333333337
8,No Handling,XGBoost,f1,0.4169372294372294
8,XGBoost Native,XGBoost,accuracy,0.5579595268119858
8,XGBoost Native,XGBoost,f1,0.5416543033396801
8,Mean,LogisticRegression,accuracy,0.5580315859004383
8,Mean,LogisticRegression,f1,0.5374543111154326
8,Mean,RandomForest,accuracy,0.5678556416261334
8,Mean,RandomForest,f1,0.5442009601423882
8,Mean,XGBoost,accuracy,0.5765807962529275
8,Mean,XGBoost,f1,0.5638564454562089
8,Median,LogisticRegression,accuracy,0.5580135711283252
8,Median,LogisticRegression,f1,0.5365341399379258
8,Median,RandomForest,accuracy,0.5721731820092476
8,Median,RandomForest,f1,0.5474910601152467
8,Median,XGBoost,accuracy,0.5415901038851858
8,Median,XGBoost,f1,0.5262372923664939
8,KNN (k=5),LogisticRegression,accuracy,0.6280069657118837
8,KNN (k=5),LogisticRegression,f1,0.610789590247307
8,KNN (k=5),RandomForest,accuracy,0.6607818411097099
8,KNN (k=5),RandomForest,f1,0.6424222807444788
8,KNN (k=5),XGBoost,accuracy,0.6487599831862128
8,KNN (k=5),XGBoost,f1,0.632717699298704
8,KNN (k=10),LogisticRegression,accuracy,0.6181769050621508
8,KNN (k=10),LogisticRegression,f1,0.5993338273515573
8,KNN (k=10),RandomForest,accuracy,0.6531916171260433
8,KNN (k=10),RandomForest,f1,0.6343904660067972
8,KNN (k=10),XGBoost,accuracy,0.6367141055665646
8,KNN (k=10),XGBoost,f1,0.6229208791118394
8,MissForest,LogisticRegression,accuracy,0.5886566984927641
8,MissForest,LogisticRegression,f1,0.5690580478181619
8,MissForest,RandomForest,accuracy,0.6422626553774095
8,MissForest,RandomForest,f1,0.6233732259002578
8,MissForest,XGBoost,accuracy,0.6149282411577494
8,MissForest,XGBoost,f1,0.6016959977481533
8,MICE,LogisticRegression,accuracy,0.5875517924698253
8,MICE,LogisticRegression,f1,0.5687954035211622
8,MICE,RandomForest,accuracy,0.5897495946676274
8,MICE,RandomForest,f1,0.5660130332846514
8,MICE,XGBoost,accuracy,0.572227226325587
8,MICE,XGBoost,f1,0.5539822617911032
9,No Handling,LogisticRegression,accuracy,0.49053030303030304
9,No Handling,LogisticRegression,f1,0.46748737373737376
9,No Handling,RandomForest,accuracy,0.5340909090909091
9,No Handling,RandomForest,f1,0.51438246097337
9,No Handling,XGBoost,accuracy,0.5568181818181819
9,No Handling,XGBoost,f1,0.5463728191000918
9,XGBoost Native,XGBoost,accuracy,0.542646970515823
9,XGBoost Native,XGBoost,f1,0.528359858353312
9,Mean,LogisticRegression,accuracy,0.5547468924518105
9,Mean,LogisticRegression,f1,0.5353805727547194
9,Mean,RandomForest,accuracy,0.5415660841890351
9,Mean,RandomForest,f1,0.5183200521442354
9,Mean,XGBoost,accuracy,0.5272743649792831
9,Mean,XGBoost,f1,0.5136302203097537
9,Median,LogisticRegression,accuracy,0.5536419864288716
9,Median,LogisticRegression,f1,0.5335493058968354
9,Median,RandomForest,accuracy,0.5689605476490722
9,Median,RandomForest,f1,0.5439603785145402
9,Median,XGBoost,accuracy,0.5612382153365759
9,Median,XGBoost,f1,0.5485431755411634
9,KNN (k=5),LogisticRegression,accuracy,0.640070858103645
9,KNN (k=5),LogisticRegression,f1,0.6232359949523172
9,KNN (k=5),RandomForest,accuracy,0.6684981684981685
9,KNN (k=5),RandomForest,f1,0.6477841421058301
9,KNN (k=5),XGBoost,accuracy,0.6542544886807181
9,KNN (k=5),XGBoost,f1,0.640807879844717
9,KNN (k=10),LogisticRegression,accuracy,0.6247583018074822
9,KNN (k=10),LogisticRegression,f1,0.6072169505924361
9,KNN (k=10),RandomForest,accuracy,0.6641205788746771
9,KNN (k=10),RandomForest,f1,0.6428706115689629
9,KNN (k=10),XGBoost,accuracy,0.6488020176544766
9,KNN (k=10),XGBoost,f1,0.6342603355731476
9,MissForest,LogisticRegression,accuracy,0.6171020236594006
9,MissForest,LogisticRegression,f1,0.5998063922332699
9,MissForest,RandomForest,accuracy,0.6280009607878461
9,MissForest,RandomForest,f1,0.6081094416020421
9,MissForest,XGBoost,accuracy,0.6279889509397706
9,MissForest,XGBoost,f1,0.6147439975159283
9,MICE,LogisticRegression,accuracy,0.5941512039872696
9,MICE,LogisticRegression,f1,0.5733572688292212
9,MICE,RandomForest,accuracy,0.6225665045337176
9,MICE,RandomForest,f1,0.5980996971077339
9,MICE,XGBoost,accuracy,0.5842610940971598
9,MICE,XGBoost,f1,0.5675998131295724
