iteration,Method,Classifier,Metric,Mean
8,Mean,XGBoost,f1,0.5255572201052653
8,Median,LogisticRegression,accuracy,0.5828828828828828
8,Median,LogisticRegression,f1,0.5501912979039657
8,Median,RandomForest,accuracy,0.577523441809156
8,Median,RandomForest,f1,0.5525267490556132
8,Median,XGBoost,accuracy,0.5434638720353007
8,Median,XGBoost,f1,0.5278565788741306
8,KNN (k=5),LogisticRegression,accuracy,0.585603971318257
8,KNN (k=5),LogisticRegression,f1,0.5543937249560231
8,KNN (k=5),RandomForest,accuracy,0.5570325427468285
8,KNN (k=5),RandomForest,f1,0.527567600961506
8,KNN (k=5),XGBoost,accuracy,0.5596800882515168
8,KNN (k=5),XGBoost,f1,0.5376376825475266
8,KNN (k=10),LogisticRegression,accuracy,0.5910369553226695
8,KNN (k=10),LogisticRegression,f1,0.5573951712063532
8,KNN (k=10),RandomForest,accuracy,0.577422320279463
8,KNN (k=10),RandomForest,f1,0.5500446730652438
8,KNN (k=10),XGBoost,accuracy,0.5516271373414231
8,KNN (k=10),XGBoost,f1,0.5338960690989305
8,MissForest,LogisticRegression,accuracy,0.6303916161059019
8,MissForest,LogisticRegression,f1,0.6080075924674707
8,MissForest,RandomForest,accuracy,0.6671355028497885
8,MissForest,RandomForest,f1,0.6465236836549534
8,MissForest,XGBoost,accuracy,0.6603695532266961
8,MissForest,XGBoost,f1,0.649371781028395
8,MICE,LogisticRegression,accuracy,0.5991910277624564
8,MICE,LogisticRegression,f1,0.5678428178397383
8,MICE,RandomForest,accuracy,0.5882699025556168
8,MICE,RandomForest,f1,0.5617305833484694
8,MICE,XGBoost,accuracy,0.58284611141754
8,MICE,XGBoost,f1,0.5705756276490481
9,No Handling,LogisticRegression,accuracy,0.5857254901960784
9,No Handling,LogisticRegression,f1,0.5512497466165023
9,No Handling,RandomForest,accuracy,0.5381176470588236
9,No Handling,RandomForest,f1,0.4842970721158995
9,No Handling,XGBoost,accuracy,0.5101176470588236
9,No Handling,XGBoost,f1,0.4898891741079422
9,XGBoost Native,XGBoost,accuracy,0.5475363118220261
